time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
3.45,Terrain0,hrp2[LLEG_JOINT5],10,0.256016263858,0.134577168368,-4.02364472315e-05,-1.12240976882e-15,-2.83386123461e-16,-1.0,-87.3221048973,-24.782243536,210.650891107,-0.00058423373792,-0.000514738077382,-4.44892161399
3.47,Terrain0,hrp2[RLEG_JOINT5],11,-0.302013565422,-0.0672632238037,-0.000115920041265,-2.66170555239e-15,0.0,-1.0,87.4041352627,26.7902187218,335.866406639,-0.00338004144024,0.00134311179536,-3.36527694336
3.47,Terrain0,hrp2[LLEG_JOINT5],10,0.255612390378,0.138507103013,-4.24399575514e-05,-5.58507954449e-16,0.0,-1.0,-98.7840143704,-28.2281910579,210.393877537,-0.000728595983359,-0.00132156722442,-6.06195370486
3.49,Terrain0,hrp2[RLEG_JOINT5],11,-0.301921443427,-0.0834463292342,-0.000109296908954,1.30457631217e-15,-2.30978385121e-15,-1.0,87.4302556311,29.3478889309,348.347928786,-0.00301293158501,-0.000703400770178,-2.92588283353
3.49,Terrain0,hrp2[LLEG_JOINT5],10,0.255877204437,0.138508081377,-4.01791587868e-05,0.0,2.83436940991e-16,-1.0,-82.6021739652,-28.2785050357,205.960138228,-0.000425795303479,-0.000561880482857,-3.5301295299
3.51,Terrain0,hrp2[RLEG_JOINT5],11,-0.302178970085,-0.0709035424358,-0.000101579208472,1.26828101491e-15,1.91380904381e-16,-1.0,85.9108516977,28.1081485636,342.922072995,-0.00259208544597,0.000376164070157,-2.95636556581
3.51,Terrain0,hrp2[LLEG_JOINT5],10,0.234116160036,0.132216029533,-3.3543465544e-05,2.2852604203e-15,3.4823703907e-15,-1.0,-81.414920952,-27.980981407,203.307812731,-0.000498588906649,-0.00048569321702,-3.47648716011
3.53,Terrain0,hrp2[RLEG_JOINT5],11,-0.301820533726,-0.0887181611992,-9.62115644519e-05,0.0,1.16976880102e-15,-1.0,86.9171773617,28.1423279363,342.293246108,-0.00294188485294,-0.000742148787362,-3.18156513985
3.53,Terrain0,hrp2[LLEG_JOINT5],10,0.257077640309,0.134581131911,-3.52081360544e-05,0.0,2.82410085324e-16,-1.0,-82.1508468362,-27.9764226807,205.820896699,-0.000267237309052,-0.000543548391328,-3.39928814102
3.55,Terrain0,hrp2[RLEG_JOINT5],11,-0.281677074591,-0.0883332339731,-0.000109865014966,-3.70135278132e-15,1.99908137097e-15,-1.0,67.9624627025,21.2191045862,340.907402666,-0.00193110199682,-0.00179195354595,-3.91976851377
3.55,Terrain0,hrp2[LLEG_JOINT5],10,0.213462335519,0.14159911764,-3.78471277672e-05,9.72286874075e-15,-3.20123986939e-15,-1.0,-2.36612361145e-12,6.87760341146e-13,221.013909478,-3.88578058619e-15,1.33226762955e-14,-9.47294078142e-14
3.57,Terrain0,hrp2[RLEG_JOINT5],11,-0.301539732731,-0.0923590369806,-8.45424829752e-05,-1.22469866857e-15,-2.03758368078e-16,-1.0,86.7551694682,28.2216389197,345.847961123,-0.00251503038392,9.81688579804e-05,-2.94765673952
3.57,Terrain0,hrp2[LLEG_JOINT5],10,0.256612660041,0.142437237624,-3.70244731559e-05,-1.68414118603e-15,3.48687436077e-15,-1.0,-84.0491781389,-28.5501095376,209.162411048,-0.000186699634564,-0.000219499629364,-3.75735708901
3.59,Terrain0,hrp2[RLEG_JOINT5],11,-0.262606155278,-0.0914941726467,-0.000114020010346,2.86010540858e-15,1.06612743138e-15,-1.0,84.6937280836,28.5058869785,338.772216451,-0.00201264252667,0.000121688029481,-2.63562452054
3.59,Terrain0,hrp2[LLEG_JOINT5],10,0.25751117506,0.128779156588,-3.03977897217e-05,-2.28259918984e-15,0.0,-1.0,-87.6212759254,-27.7785718565,208.654002697,-8.87400562426e-05,-0.000301059052776,-3.93432250541
3.61,Terrain0,hrp2[RLEG_JOINT5],11,-0.26260668166,-0.0914942148731,-0.000106951352896,3.56994343204e-15,-7.67099683564e-16,-1.0,85.4534693785,29.622996241,346.560390821,-0.00191524566772,-7.27635251336e-05,-2.76461763373
3.61,Terrain0,hrp2[LLEG_JOINT5],10,0.257206400634,0.142437355216,-3.38528369458e-05,-2.27395033439e-15,3.47506214333e-15,-1.0,-83.7773791645,-28.5204130182,207.556268866,-0.000166052836592,-0.000219130446596,-3.48394236013
3.63,Terrain0,hrp2[RLEG_JOINT5],11,-0.26195721664,-0.0790447987308,-0.000100553898095,2.35056712609e-15,0.0,-1.0,85.561660275,28.6082582992,341.826129218,-0.0018129530541,-0.000438162431331,-2.91487401332
3.63,Terrain0,hrp2[LLEG_JOINT5],10,0.258215984658,0.132711771787,-2.90917784041e-05,2.22662802157e-15,1.13825174856e-15,-1.0,-82.965134476,-28.3174745756,206.620303963,-0.000103467096351,-0.000207017165586,-3.45530795541
3.65,Terrain0,hrp2[RLEG_JOINT5],11,-0.281800808724,-0.0830661747518,-8.04012508464e-05,0.0,1.04999821783e-15,-1.0,85.4393317981,27.4410595666,337.135956592,-0.00187787239545,0.000325387099608,-2.96891217099
3.65,Terrain0,hrp2[LLEG_JOINT5],10,0.258564050582,0.132711825119,-2.78693021602e-05,0.0,0.0,-1.0,-94.5358290292,-28.3235963187,211.473217462,-1.09592565103e-05,-0.000432699122237,-4.24918426016
3.67,Terrain0,hrp2[RLEG_JOINT5],11,-0.302117394656,-0.076185583576,-6.21509923168e-05,-1.15186889558e-15,0.0,-1.0,84.9893846939,28.8343235801,350.173294084,-0.00142844538699,-0.00036841398158,-2.87753295597
3.67,Terrain0,hrp2[LLEG_JOINT5],10,0.236545700255,0.13801540329,-2.80791672448e-05,1.10050705358e-15,0.0,-1.0,-84.6441976223,-28.3665683767,208.149841926,-9.02604802409e-05,-0.000221560721107,-3.57555728126
3.69,Terrain0,hrp2[RLEG_JOINT5],11,-0.262311662891,-0.0702055641017,-8.33044580074e-05,0.0,-8.23566356454e-16,-1.0,84.6835697835,27.6551385077,344.691648582,-0.00114914912396,-0.000115848210801,-2.93907207648
3.69,Terrain0,hrp2[LLEG_JOINT5],10,0.236767416083,0.138015450996,-2.69733972146e-05,3.41557072473e-15,0.0,-1.0,-89.1012761408,-28.3147817051,208.442661935,-6.47323571079e-05,-0.000321966402496,-3.96918075802
3.71,Terrain0,hrp2[RLEG_JOINT5],11,-0.302133295492,-0.0761916069835,-5.57627694489e-05,2.26714772062e-15,-1.07324864334e-15,-1.0,88.7609848791,28.685870511,355.797020367,-0.00111526371125,-0.000283546821982,-3.12513392224
3.71,Terrain0,hrp2[LLEG_JOINT5],10,0.21617680007,0.131732331951,-3.9439508586e-05,-1.12316086257e-15,-5.61580431283e-16,-1.0,-96.0697799561,-27.6907292848,210.505477637,0.000977009127305,0.000156115633543,-6.27982266385
3.73,Terrain0,hrp2[RLEG_JOINT5],10,-0.25090713405,-0.052643297872,-0.00011199862439,0.0,1.44189796291e-15,-1.0,88.8524240254,24.3290039254,349.509169991,-0.000919370183544,-0.000128419955264,-2.60316236155
3.73,Terrain0,hrp2[LLEG_JOINT5],11,0.207518715762,0.141783738974,-4.27982686703e-05,-2.14202652725e-15,0.0,-1.0,-94.5690739621,-28.3660923327,213.004983187,0.000470512364747,0.000281655602579,-4.82282035158
3.75,Terrain0,hrp2[RLEG_JOINT5],10,-0.184789558129,-0.0470052144566,-0.000159182728153,3.88579822045e-15,0.0,-1.0,86.7412637194,22.1725161008,352.241265669,-0.000615554786784,-0.00343291592337,-2.88431828291
3.75,Terrain0,hrp2[LLEG_JOINT5],11,0.227248150347,0.145814467107,-3.97603245164e-05,1.03142840418e-15,-2.63046518305e-15,-1.0,-84.3129008597,-27.522002934,207.822544356,0.000364786717374,0.000147666895011,-4.88840211072
